item_id,price,quantity,sold,title,totalSoldQuantity,url,img,titleUnderIconList
602609864746,39.00,0,4169,女装 宽松圆领针织衫(短袖) 418663 优衣库UNIQLO,4742,//detail.m.tmall.com/item.htm?id=602609864746,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01qObJCP1ewH56lP3iF_!!0-item_pic.jpg,[]
605532575357,99.00,0,8937,女装 罗纹高领T恤(长袖) 418231 优衣库UNIQLO,9281,//detail.m.tmall.com/item.htm?id=605532575357,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01hi9ERe1ewH5DAMr1s_!!0-item_pic.jpg,[]
605322230365,299.00,0,1277,【设计师合作款】女装 提花圆领开衫(长袖) 422604 优衣库UNIQLO,1346,//detail.m.tmall.com/item.htm?id=605322230365,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01b9TUSf1ewH59joTkR_!!0-item_pic.jpg,[]
605321910763,59.00,0,2978,女装 罗纹棉质圆领T恤(长袖) 418225 优衣库UNIQLO,3204,//detail.m.tmall.com/item.htm?id=605321910763,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN010SGmBd1ewH5B6Bvx3_!!0-item_pic.jpg,[]
605102781318,249.00,0,1579,【设计师合作款】女装 全棉宽松衬衫(长袖) 421078 优衣库NIQLO,1771,//detail.m.tmall.com/item.htm?id=605102781318,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01HmxKIw1ewH5BNygoc_!!0-item_pic.jpg,[]
596376947224,35.00,0,2827,女装 短裤(高腰)(三角)(内裤) 419788 优衣库UNIQLO,11053,//detail.m.tmall.com/item.htm?id=596376947224,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01DEVdC71ewH3szJahq_!!0-item_pic.jpg,[]
603695873069,149.00,0,7854,女装 柔软无钢圈文胸 425753 优衣库UNIQLO,9054,//detail.m.tmall.com/item.htm?id=603695873069,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01h7O2K81ewH50LLyp7_!!0-item_pic.jpg,[]
603634116323,199.00,0,2305,男装 法兰绒睡衣(长袖) 419898 优衣库UNIQLO,2422,//detail.m.tmall.com/item.htm?id=603634116323,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01ka48uX1ewH51PsNjn_!!0-item_pic.jpg,[]
602610588316,99.00,0,5300,女装 抽褶长裙 423891 优衣库UNIQLO,5861,//detail.m.tmall.com/item.htm?id=602610588316,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01rgfeJt1ewH4x3CpCm_!!0-item_pic.jpg,[]
600199785058,149.00,0,2479,男装/女装 (UT) R.A.BY VERDY连帽运动衫(长袖) 418892 优衣库,3634,//detail.m.tmall.com/item.htm?id=600199785058,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN010jZhI11ewH4h7eYdr_!!0-item_pic.jpg,[]
600401286914,149.00,0,2159,男装/女装 (UT) R.A.BY VERDY连帽运动衫(长袖) 425070 优衣库,2827,//detail.m.tmall.com/item.htm?id=600401286914,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01Eplb5N1ewH4klFEkT_!!0-item_pic.jpg,[]
595794612587,35.00,0,2181,女装 短裤(三角)(内裤) 419447 优衣库UNIQLO,10594,//detail.m.tmall.com/item.htm?id=595794612587,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01Sv1HOM1ewH3qRO30o_!!0-item_pic.jpg,[]
595136189661,99.00,0,12523,男装 棉质松紧九分裤 418481 优衣库UNIQLO,32370,//detail.m.tmall.com/item.htm?id=595136189661,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN010LaiXv1ewH3tTZfWO_!!0-item_pic.jpg,[]
599742091171,249.00,0,2831,童装/男童/女童 仿羊羔绒摇粒绒压线两面穿茄克 421842 优衣库,3818,//detail.m.tmall.com/item.htm?id=599742091171,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01ffoWuh1ewH4anwTDz_!!0-item_pic.jpg,[]
598705727379,35.00,0,2489,女装 短裤(高腰)(三角)(内裤) 419437 优衣库UNIQLO,10604,//detail.m.tmall.com/item.htm?id=598705727379,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN015snUgQ1ewH3zLxVEj_!!0-item_pic.jpg,[]
600595342395,129.00,0,1371,婴儿/幼儿 弹力保暖裤 418743 优衣库UNIQLO,1954,//detail.m.tmall.com/item.htm?id=600595342395,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01VDiMQo1ewH5DtIaqg_!!0-item_pic.jpg,[]
599158841301,149.00,0,4515,女装 牛仔中裙(水洗产品) 420366 优衣库UNIQLO,9036,//detail.m.tmall.com/item.htm?id=599158841301,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01FxtbBh1ewH4lCGmUP_!!0-item_pic.jpg,[]
595452044317,149.00,0,2379,男装 高性能修身防皱衬衫(长袖) 421107 优衣库UNIQLO,8065,//detail.m.tmall.com/item.htm?id=595452044317,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN0153PioQ1ewH3v5rbD0_!!0-item_pic.jpg,[]
601678959135,249.00,0,2424,童装/男童/女童 军旅式茄克 423888 优衣库UNIQLO,2898,//detail.m.tmall.com/item.htm?id=601678959135,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01R6LDhA1ewH4vcBhnx_!!0-item_pic.jpg,[]
596209234512,149.00,0,6577,女装 轻型无钢圈文胸(蕾丝) 419786 优衣库UNIQLO,23633,//detail.m.tmall.com/item.htm?id=596209234512,//img.alicdn.com/bao/uploaded/i2/196993935/O1CN01xWxk571ewH3vwx447_!!0-item_pic.jpg,[]
589585115768,149.00,0,4023,女装 高弹力紧身长裤 413119 优衣库UNIQLO,23678,//detail.m.tmall.com/item.htm?id=589585115768,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01H3X3NS1ewH4TM49tW_!!0-item_pic.jpg,[]
592882002083,199.00,0,1349,男装 牛津纺衬衫(长袖) 419008 优衣库UNIQLO,4536,//detail.m.tmall.com/item.htm?id=592882002083,//img.alicdn.com/bao/uploaded/i3/196993935/O1CN01wBSxLV1ewH3rvr6da_!!0-item_pic.jpg,[]
603635549445,129.00,0,2181,男装 法兰绒格子衬衫(长袖) 421201 优衣库UNIQLO,2314,//detail.m.tmall.com/item.htm?id=603635549445,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01C8fCJY1ewH53dYDdm_!!0-item_pic.jpg,[]
602241888876,79.00,0,2314,女装 HEATTECH圆领T恤(长袖) 418325 优衣库UNIQLO,2636,//detail.m.tmall.com/item.htm?id=602241888876,//img.alicdn.com/bao/uploaded/i4/196993935/O1CN01XS0kkE1ewH5LDU7qI_!!0-item_pic.jpg,[]
601527964113,149.00,0,2459,男装/亲子装 (UT) DPJ MICKEY ART运动衫(长袖) 422564,3047,//detail.m.tmall.com/item.htm?id=601527964113,//img.alicdn.com/bao/uploaded/i1/196993935/O1CN01qqbt9j1ewH4twtRwL_!!0-item_pic.jpg,[]
